,num_changes,score,model,N,M
0,0,1.0,ER,450,300
1,1,0.9349955744204371,ER,450,300
2,11,0.7264804783811649,ER,450,300
3,21,0.6425166355929319,ER,450,300
4,31,0.5625542717028272,ER,450,300
5,41,0.5267977032891107,ER,450,300
6,51,0.46824036454379026,ER,450,300
7,61,0.4466361899164785,ER,450,300
8,71,0.4386339301881463,ER,450,300
9,81,0.3831484786084856,ER,450,300
10,91,0.4020215172407046,ER,450,300
11,675,0.13384572115602014,ER,450,300
12,1350,0.11413546054749951,ER,450,300
13,2025,0.0903705297437578,ER,450,300
14,2700,0.0920831685290932,ER,450,300
15,3375,0.08628725658546171,ER,450,300
16,4050,0.07683722033514867,ER,450,300
17,4725,0.07066593803116925,ER,450,300
18,5400,0.07326797057001624,ER,450,300
19,6075,0.06631925841956524,ER,450,300
20,6750,0.0649727115824085,ER,450,300
21,7425,0.059844097907146815,ER,450,300
22,8100,0.06501917924822134,ER,450,300
23,8775,0.06008063494919271,ER,450,300
24,9450,0.061198078226371085,ER,450,300
25,10125,0.06126662369486424,ER,450,300
26,10800,0.05679426291420131,ER,450,300
27,11475,0.06089784231049565,ER,450,300
28,12150,0.05799263462922804,ER,450,300
29,12825,0.06029025711393123,ER,450,300
30,13500,0.05527453218487936,ER,450,300
31,0,1.0,ER,450,300
32,1,0.9280957091491646,ER,450,300
33,11,0.7175612926814279,ER,450,300
34,21,0.6302860665925296,ER,450,300
35,31,0.5621093857675252,ER,450,300
36,41,0.5227632438518566,ER,450,300
37,51,0.4585289658124193,ER,450,300
38,61,0.442560520836772,ER,450,300
39,71,0.42021696285452254,ER,450,300
40,81,0.3734902781289771,ER,450,300
41,91,0.3872388627880252,ER,450,300
42,675,0.1490582546721253,ER,450,300
43,1350,0.11276242360532715,ER,450,300
44,2025,0.09617288990016398,ER,450,300
45,2700,0.08438567845583887,ER,450,300
46,3375,0.07973645432260795,ER,450,300
47,4050,0.07766050462983484,ER,450,300
48,4725,0.07231058433930013,ER,450,300
49,5400,0.07246903258653203,ER,450,300
50,6075,0.06690770217110065,ER,450,300
51,6750,0.06452199675590982,ER,450,300
52,7425,0.06562735451220714,ER,450,300
53,8100,0.06449823677432245,ER,450,300
54,8775,0.06703386371460002,ER,450,300
55,9450,0.0646915467615441,ER,450,300
56,10125,0.0604972876019603,ER,450,300
57,10800,0.06052966986376898,ER,450,300
58,11475,0.0566265651620228,ER,450,300
59,12150,0.05825538431366683,ER,450,300
60,12825,0.05819333726721139,ER,450,300
61,13500,0.05805945009750106,ER,450,300
62,0,1.0,ER,450,300
63,1,0.9195085677663369,ER,450,300
64,11,0.729751633821281,ER,450,300
65,21,0.6278623128662261,ER,450,300
66,31,0.5629023845142711,ER,450,300
67,41,0.5086762841508888,ER,450,300
68,51,0.46176247077884813,ER,450,300
69,61,0.44215911570058847,ER,450,300
70,71,0.42685664190947004,ER,450,300
71,81,0.40462927814094196,ER,450,300
72,91,0.38349482752960534,ER,450,300
73,675,0.14765070248147152,ER,450,300
74,1350,0.10837404540272995,ER,450,300
75,2025,0.10269998065267807,ER,450,300
76,2700,0.08431909427109155,ER,450,300
77,3375,0.08278957340143304,ER,450,300
78,4050,0.08307829646264178,ER,450,300
79,4725,0.07002927344517053,ER,450,300
80,5400,0.06853137265823106,ER,450,300
81,6075,0.07054804341068695,ER,450,300
82,6750,0.0648767983673128,ER,450,300
83,7425,0.07070317277420422,ER,450,300
84,8100,0.06314928065567323,ER,450,300
85,8775,0.06213725997178751,ER,450,300
86,9450,0.06198911292690397,ER,450,300
87,10125,0.060011404330081994,ER,450,300
88,10800,0.05594405010882653,ER,450,300
89,11475,0.05549055262588225,ER,450,300
90,12150,0.058987753734004146,ER,450,300
91,12825,0.06027564986183747,ER,450,300
92,13500,0.05639354047704949,ER,450,300
93,0,1.0,ER,450,300
94,1,0.9228500979237046,ER,450,300
95,11,0.7265234126849337,ER,450,300
96,21,0.6425863567776808,ER,450,300
97,31,0.580801143434101,ER,450,300
98,41,0.5375806374933311,ER,450,300
99,51,0.5018316947562841,ER,450,300
100,61,0.4350715736019857,ER,450,300
101,71,0.40235880373312677,ER,450,300
102,81,0.38690972962242526,ER,450,300
103,91,0.38848739119209175,ER,450,300
104,675,0.14909469597703226,ER,450,300
105,1350,0.12390750218943913,ER,450,300
106,2025,0.10510935415809712,ER,450,300
107,2700,0.08875050989658101,ER,450,300
108,3375,0.08041461847017539,ER,450,300
109,4050,0.08574178263500583,ER,450,300
110,4725,0.07283717683926001,ER,450,300
111,5400,0.07581241407192832,ER,450,300
112,6075,0.07075964084449954,ER,450,300
113,6750,0.06393932142900344,ER,450,300
114,7425,0.06462980439745056,ER,450,300
115,8100,0.06435964359719379,ER,450,300
116,8775,0.06097079711339779,ER,450,300
117,9450,0.06274656568443562,ER,450,300
118,10125,0.06032351506432313,ER,450,300
119,10800,0.058978314851747066,ER,450,300
120,11475,0.06041254131482758,ER,450,300
121,12150,0.05719080008365139,ER,450,300
122,12825,0.058955887195598064,ER,450,300
123,13500,0.0577349376366984,ER,450,300
124,0,1.0,ER,450,300
125,1,0.9264998406814489,ER,450,300
126,11,0.7244957745754586,ER,450,300
127,21,0.6489734735552073,ER,450,300
128,31,0.5309723239128781,ER,450,300
129,41,0.5143898838859824,ER,450,300
130,51,0.48046448018068283,ER,450,300
131,61,0.4361939754548041,ER,450,300
132,71,0.41555361407961744,ER,450,300
133,81,0.42346639440086636,ER,450,300
134,91,0.36577378298633106,ER,450,300
135,675,0.14882039443479506,ER,450,300
136,1350,0.11201847320855375,ER,450,300
137,2025,0.09412167849838798,ER,450,300
138,2700,0.08811374241348349,ER,450,300
139,3375,0.0789605772106914,ER,450,300
140,4050,0.07415136533598411,ER,450,300
141,4725,0.07204166013940991,ER,450,300
142,5400,0.06928762733244584,ER,450,300
143,6075,0.06356225264334386,ER,450,300
144,6750,0.07145171473584189,ER,450,300
145,7425,0.06541373859421265,ER,450,300
146,8100,0.06602601918478562,ER,450,300
147,8775,0.06524598359838707,ER,450,300
148,9450,0.06337696133399974,ER,450,300
149,10125,0.06433507891281023,ER,450,300
150,10800,0.06051687495234442,ER,450,300
151,11475,0.06157745441724986,ER,450,300
152,12150,0.05808692824635014,ER,450,300
153,12825,0.06057036327161177,ER,450,300
154,13500,0.05845264521911122,ER,450,300
155,0,1.0,ER,450,300
156,1,0.9252637895646483,ER,450,300
157,11,0.7388767844491464,ER,450,300
158,21,0.639649681557919,ER,450,300
159,31,0.5860481188869902,ER,450,300
160,41,0.5099807999353265,ER,450,300
161,51,0.46719921572930023,ER,450,300
162,61,0.4482746145965181,ER,450,300
163,71,0.42015888251421885,ER,450,300
164,81,0.402098560511857,ER,450,300
165,91,0.3849982746650323,ER,450,300
166,675,0.1567634805992032,ER,450,300
167,1350,0.11198936482029175,ER,450,300
168,2025,0.08864378899132502,ER,450,300
169,2700,0.08346715383813084,ER,450,300
170,3375,0.08134979248586388,ER,450,300
171,4050,0.0777597560419695,ER,450,300
172,4725,0.07816705284324167,ER,450,300
173,5400,0.07234529575308705,ER,450,300
174,6075,0.06636378396453095,ER,450,300
175,6750,0.0675991420663046,ER,450,300
176,7425,0.06403891322903217,ER,450,300
177,8100,0.06145002699706734,ER,450,300
178,8775,0.05957949756908135,ER,450,300
179,9450,0.06068932637050639,ER,450,300
180,10125,0.06169382788989167,ER,450,300
181,10800,0.05901797609938962,ER,450,300
182,11475,0.0616795139117014,ER,450,300
183,12150,0.056104579647169334,ER,450,300
184,12825,0.05842520892002562,ER,450,300
185,13500,0.053643956520582965,ER,450,300
186,0,1.0,ER,450,300
187,1,0.9220176002462805,ER,450,300
188,11,0.7224331303891054,ER,450,300
189,21,0.6349573427423683,ER,450,300
190,31,0.5672506360344862,ER,450,300
191,41,0.5265253323786996,ER,450,300
192,51,0.4887437190310276,ER,450,300
193,61,0.4495051258524971,ER,450,300
194,71,0.4156669779106567,ER,450,300
195,81,0.4219264378965977,ER,450,300
196,91,0.40370035885505673,ER,450,300
197,675,0.16234115121894022,ER,450,300
198,1350,0.10390522316595774,ER,450,300
199,2025,0.09754872057692879,ER,450,300
200,2700,0.08297420376324202,ER,450,300
201,3375,0.08356925202828806,ER,450,300
202,4050,0.07148275439004934,ER,450,300
203,4725,0.07021731505114057,ER,450,300
204,5400,0.07273214729901643,ER,450,300
205,6075,0.06956471060840191,ER,450,300
206,6750,0.06574746590082974,ER,450,300
207,7425,0.06372783794159499,ER,450,300
208,8100,0.060312627554592234,ER,450,300
209,8775,0.060425850735985207,ER,450,300
210,9450,0.06144324080635054,ER,450,300
211,10125,0.06457140814411914,ER,450,300
212,10800,0.0585609571905445,ER,450,300
213,11475,0.05844401767444362,ER,450,300
214,12150,0.06300239677070171,ER,450,300
215,12825,0.056309352808162384,ER,450,300
216,13500,0.055915017316901613,ER,450,300
217,0,1.0,ER,450,300
218,1,0.9341981255387298,ER,450,300
219,11,0.7501568975715307,ER,450,300
220,21,0.6299240826275923,ER,450,300
221,31,0.5669599890510911,ER,450,300
222,41,0.5227203613974192,ER,450,300
223,51,0.4917084597644483,ER,450,300
224,61,0.44450571582722176,ER,450,300
225,71,0.4299500191806894,ER,450,300
226,81,0.4048844163696528,ER,450,300
227,91,0.38229482351168403,ER,450,300
228,675,0.1489473600147417,ER,450,300
229,1350,0.11084595441156973,ER,450,300
230,2025,0.0944710756519449,ER,450,300
231,2700,0.08116029542364833,ER,450,300
232,3375,0.08415320420148811,ER,450,300
233,4050,0.07869938994391201,ER,450,300
234,4725,0.07975244121258133,ER,450,300
235,5400,0.07124853705074455,ER,450,300
236,6075,0.07128946458103035,ER,450,300
237,6750,0.06823085779015621,ER,450,300
238,7425,0.0642519174321346,ER,450,300
239,8100,0.06138123233587831,ER,450,300
240,8775,0.059640289679586234,ER,450,300
241,9450,0.058736602587890485,ER,450,300
242,10125,0.06289707885946091,ER,450,300
243,10800,0.06100453959299199,ER,450,300
244,11475,0.06269100765754737,ER,450,300
245,12150,0.061135473780274716,ER,450,300
246,12825,0.0601521958063311,ER,450,300
247,13500,0.0570060818702765,ER,450,300
248,0,1.0,ER,450,300
249,1,0.9295262689928097,ER,450,300
250,11,0.7268958256650739,ER,450,300
251,21,0.6256392405336106,ER,450,300
252,31,0.5529411207548055,ER,450,300
253,41,0.5203478136079966,ER,450,300
254,51,0.49875249212036465,ER,450,300
255,61,0.4229781046884128,ER,450,300
256,71,0.4188028395756128,ER,450,300
257,81,0.4042660465838225,ER,450,300
258,91,0.3738686780950885,ER,450,300
259,675,0.14540142245764215,ER,450,300
260,1350,0.09911344351835544,ER,450,300
261,2025,0.10149629142454758,ER,450,300
262,2700,0.08537571923303194,ER,450,300
263,3375,0.08025638051288533,ER,450,300
264,4050,0.07728271920043539,ER,450,300
265,4725,0.07316712510238317,ER,450,300
266,5400,0.06879476625578289,ER,450,300
267,6075,0.06948766548285328,ER,450,300
268,6750,0.06645895569476773,ER,450,300
269,7425,0.06584687309769227,ER,450,300
270,8100,0.06445990821979242,ER,450,300
271,8775,0.06489368815632177,ER,450,300
272,9450,0.06033575959519559,ER,450,300
273,10125,0.059060348642848426,ER,450,300
274,10800,0.06131140587103333,ER,450,300
275,11475,0.06185382612412296,ER,450,300
276,12150,0.058532797014424355,ER,450,300
277,12825,0.057053279309696545,ER,450,300
278,13500,0.05540285354214593,ER,450,300
279,0,1.0,ER,450,300
280,1,0.9253399997897882,ER,450,300
281,11,0.7149080805824322,ER,450,300
282,21,0.6174385182642309,ER,450,300
283,31,0.5781603889889801,ER,450,300
284,41,0.5413862116056871,ER,450,300
285,51,0.4852022263278867,ER,450,300
286,61,0.4496650458315237,ER,450,300
287,71,0.41437485183754275,ER,450,300
288,81,0.3795899530212406,ER,450,300
289,91,0.37492141805604606,ER,450,300
290,675,0.15926581056409736,ER,450,300
291,1350,0.11693617281960361,ER,450,300
292,2025,0.09726069131739111,ER,450,300
293,2700,0.08616853559218067,ER,450,300
294,3375,0.08084397941214334,ER,450,300
295,4050,0.08117044864878634,ER,450,300
296,4725,0.07567866402532719,ER,450,300
297,5400,0.07298249318939497,ER,450,300
298,6075,0.06607958604311308,ER,450,300
299,6750,0.06967851275542689,ER,450,300
300,7425,0.06673519240196696,ER,450,300
301,8100,0.06351875805524732,ER,450,300
302,8775,0.06576737414824396,ER,450,300
303,9450,0.0610896911387431,ER,450,300
304,10125,0.06332688337712457,ER,450,300
305,10800,0.05940441260914746,ER,450,300
306,11475,0.059659705117083614,ER,450,300
307,12150,0.06132763193410337,ER,450,300
308,12825,0.05780327247428654,ER,450,300
309,13500,0.05483060460289181,ER,450,300
310,0,1.0,ER,450,300
311,1,0.9195531146484582,ER,450,300
312,11,0.7203605549828531,ER,450,300
313,21,0.6528935510633361,ER,450,300
314,31,0.5634888870237824,ER,450,300
315,41,0.5319559120338109,ER,450,300
316,51,0.47698376551020644,ER,450,300
317,61,0.4703811094920417,ER,450,300
318,71,0.43260484873978156,ER,450,300
319,81,0.40795842796280096,ER,450,300
320,91,0.35573468586426016,ER,450,300
321,675,0.14534610568890843,ER,450,300
322,1350,0.1131745879546139,ER,450,300
323,2025,0.09209193054008134,ER,450,300
324,2700,0.08532098372660082,ER,450,300
325,3375,0.07668855924729384,ER,450,300
326,4050,0.07487444564636332,ER,450,300
327,4725,0.07003285673999379,ER,450,300
328,5400,0.06836273569503545,ER,450,300
329,6075,0.06677943559367394,ER,450,300
330,6750,0.06398963221219439,ER,450,300
331,7425,0.06539576112765051,ER,450,300
332,8100,0.06297845988406636,ER,450,300
333,8775,0.06282433436736266,ER,450,300
334,9450,0.060659497578279445,ER,450,300
335,10125,0.05858324592005395,ER,450,300
336,10800,0.06049826034861792,ER,450,300
