,N,M,cluster_size,cluster_mean,seed_a,seed_b,score,model
89,20,20,0.166,5.0,4,5,0.1595915141422202,clustered
90,20,20,0.166,5.0,4,6,0.1173021006265016,clustered
91,20,20,0.166,5.0,4,7,0.1467064535387263,clustered
92,20,20,0.166,5.0,4,8,0.1420080588614101,clustered
93,20,20,0.166,5.0,4,9,0.0977630686290469,clustered
94,20,20,0.166,5.0,4,10,0.0934601100551744,clustered
95,20,20,0.166,5.0,5,6,0.1093614273189963,clustered
96,20,20,0.166,5.0,5,7,0.1233011249506839,clustered
97,20,20,0.166,5.0,5,8,0.1186956850356393,clustered
98,20,20,0.166,5.0,5,9,0.1088662295212926,clustered
99,20,20,0.166,5.0,5,10,0.1457046643487303,clustered
100,20,20,0.166,5.0,6,7,0.1359230314546844,clustered
101,20,20,0.166,5.0,6,8,0.0914245087829031,clustered
102,20,20,0.166,5.0,6,9,0.1209357422856582,clustered
103,20,20,0.166,5.0,6,10,0.1230898757059862,clustered
104,20,20,0.166,5.0,7,8,0.1061438650392306,clustered
105,20,20,0.166,5.0,7,9,0.1029409719850275,clustered
106,20,20,0.166,5.0,7,10,0.1334120537569777,clustered
107,20,20,0.166,5.0,8,9,0.1164659915325775,clustered
108,20,20,0.166,5.0,8,10,0.1438121985606056,clustered
109,20,20,0.166,5.0,9,10,0.1115073955757681,clustered
110,20,20,0.166,10.0,0,1,0.1596159634324722,clustered
111,20,20,0.166,10.0,0,2,0.1499515444872961,clustered
112,20,20,0.166,10.0,0,3,0.1820814859850055,clustered
113,20,20,0.166,10.0,0,4,0.1623784137119942,clustered
114,20,20,0.166,10.0,0,5,0.182738911169121,clustered
115,20,20,0.166,10.0,0,6,0.1599928701402011,clustered
116,20,20,0.166,10.0,0,7,0.1503560019637839,clustered
117,20,20,0.166,10.0,0,8,0.1347741733908087,clustered
118,20,20,0.166,10.0,0,9,0.2107152974319761,clustered
119,20,20,0.166,10.0,0,10,0.1708464395815118,clustered
120,20,20,0.166,10.0,1,2,0.1674983515447059,clustered
121,20,20,0.166,10.0,1,3,0.1507541147427299,clustered
122,20,20,0.166,10.0,1,4,0.1480702616003206,clustered
123,20,20,0.166,10.0,1,5,0.1613087624054426,clustered
124,20,20,0.166,10.0,1,6,0.1800243905952093,clustered
125,20,20,0.166,10.0,1,7,0.2270319021066199,clustered
126,20,20,0.166,10.0,1,8,0.146627083400689,clustered
127,20,20,0.166,10.0,1,9,0.1932280240530207,clustered
128,20,20,0.166,10.0,1,10,0.1502064388977134,clustered
129,20,20,0.166,10.0,2,3,0.1806917485437597,clustered
130,20,20,0.166,10.0,2,4,0.127877398772458,clustered
131,20,20,0.166,10.0,2,5,0.1404026222239724,clustered
132,20,20,0.166,10.0,2,6,0.1643095552078464,clustered
133,20,20,0.166,10.0,2,7,0.126009809034615,clustered
134,20,20,0.166,10.0,2,8,0.0964809344354931,clustered
135,20,20,0.166,10.0,2,9,0.1350722283251649,clustered
