,N,M,cluster_size,cluster_mean,seed_a,seed_b,score,model
89,20,30,0.166,5.0,4,5,0.1221610574651495,clustered
90,20,30,0.166,5.0,4,6,0.0987809106174272,clustered
91,20,30,0.166,5.0,4,7,0.1254470643359373,clustered
92,20,30,0.166,5.0,4,8,0.1488759622036979,clustered
93,20,30,0.166,5.0,4,9,0.1256045826974063,clustered
94,20,30,0.166,5.0,4,10,0.1161071346571931,clustered
95,20,30,0.166,5.0,5,6,0.0992666115020822,clustered
96,20,30,0.166,5.0,5,7,0.1111693007598098,clustered
97,20,30,0.166,5.0,5,8,0.0867649631821525,clustered
98,20,30,0.166,5.0,5,9,0.1380911812276677,clustered
99,20,30,0.166,5.0,5,10,0.1070186160162149,clustered
100,20,30,0.166,5.0,6,7,0.1043256545274582,clustered
101,20,30,0.166,5.0,6,8,0.1231412914994253,clustered
102,20,30,0.166,5.0,6,9,0.100579386909758,clustered
103,20,30,0.166,5.0,6,10,0.1054250002001955,clustered
104,20,30,0.166,5.0,7,8,0.1311245949101566,clustered
105,20,30,0.166,5.0,7,9,0.1211290000282989,clustered
106,20,30,0.166,5.0,7,10,0.1091401791207389,clustered
107,20,30,0.166,5.0,8,9,0.1242888820833233,clustered
108,20,30,0.166,5.0,8,10,0.1168875057844192,clustered
109,20,30,0.166,5.0,9,10,0.1373039266211223,clustered
110,20,30,0.166,10.0,0,1,0.1474031252735076,clustered
111,20,30,0.166,10.0,0,2,0.140669771403145,clustered
112,20,30,0.166,10.0,0,3,0.1090485144901287,clustered
113,20,30,0.166,10.0,0,4,0.1433412896340969,clustered
114,20,30,0.166,10.0,0,5,0.1209814430844457,clustered
115,20,30,0.166,10.0,0,6,0.1462098576303017,clustered
116,20,30,0.166,10.0,0,7,0.1267589141267269,clustered
117,20,30,0.166,10.0,0,8,0.1413171814685249,clustered
118,20,30,0.166,10.0,0,9,0.1109733079812243,clustered
119,20,30,0.166,10.0,0,10,0.1354821330941391,clustered
120,20,30,0.166,10.0,1,2,0.1429661832197147,clustered
121,20,30,0.166,10.0,1,3,0.1093963193815622,clustered
122,20,30,0.166,10.0,1,4,0.1228930149790722,clustered
123,20,30,0.166,10.0,1,5,0.1339898314626209,clustered
124,20,30,0.166,10.0,1,6,0.1390959631752638,clustered
125,20,30,0.166,10.0,1,7,0.1588985385789414,clustered
126,20,30,0.166,10.0,1,8,0.1763416956213616,clustered
127,20,30,0.166,10.0,1,9,0.1344019504225318,clustered
128,20,30,0.166,10.0,1,10,0.149484865529776,clustered
129,20,30,0.166,10.0,2,3,0.1157272476708249,clustered
130,20,30,0.166,10.0,2,4,0.1024373145000253,clustered
131,20,30,0.166,10.0,2,5,0.1310662450735967,clustered
132,20,30,0.166,10.0,2,6,0.1243325631851661,clustered
133,20,30,0.166,10.0,2,7,0.1619859936002022,clustered
134,20,30,0.166,10.0,2,8,0.1250770450350849,clustered
135,20,30,0.166,10.0,2,9,0.095386050451858,clustered
136,20,30,0.166,10.0,2,10,0.1462309246309937,clustered
137,20,30,0.166,10.0,3,4,0.1122419796037715,clustered
138,20,30,0.166,10.0,3,5,0.1021511410151269,clustered
139,20,30,0.166,10.0,3,6,0.1417939398411263,clustered
140,20,30,0.166,10.0,3,7,0.1101067121839398,clustered
141,20,30,0.166,10.0,3,8,0.0952298283924409,clustered
142,20,30,0.166,10.0,3,9,0.124578500682823,clustered
143,20,30,0.166,10.0,3,10,0.1323458587528879,clustered
144,20,30,0.166,10.0,4,5,0.1092640067782294,clustered
145,20,30,0.166,10.0,4,6,0.1117750462529654,clustered
146,20,30,0.166,10.0,4,7,0.131305600942648,clustered
147,20,30,0.166,10.0,4,8,0.1149907179672424,clustered
148,20,30,0.166,10.0,4,9,0.1075139560436699,clustered
149,20,30,0.166,10.0,4,10,0.1233752569367647,clustered
150,20,30,0.166,10.0,5,6,0.1142743660775689,clustered
151,20,30,0.166,10.0,5,7,0.11962632038053,clustered
152,20,30,0.166,10.0,5,8,0.1105374725388468,clustered
153,20,30,0.166,10.0,5,9,0.1019896950228899,clustered
154,20,30,0.166,10.0,5,10,0.1283077173493308,clustered
155,20,30,0.166,10.0,6,7,0.1258571294471185,clustered
156,20,30,0.166,10.0,6,8,0.1405530416940695,clustered
157,20,30,0.166,10.0,6,9,0.1214788477791906,clustered
158,20,30,0.166,10.0,6,10,0.1592500170001214,clustered
159,20,30,0.166,10.0,7,8,0.1307762632778654,clustered
160,20,30,0.166,10.0,7,9,0.1100826127665911,clustered
161,20,30,0.166,10.0,7,10,0.1398852789108271,clustered
162,20,30,0.166,10.0,8,9,0.10218127727037,clustered
163,20,30,0.166,10.0,8,10,0.1279086330733314,clustered
164,20,30,0.166,10.0,9,10,0.1094339122465439,clustered
165,20,30,0.166,15.0,0,1,0.1517149858276057,clustered
166,20,30,0.166,15.0,0,2,0.1338018163918507,clustered
167,20,30,0.166,15.0,0,3,0.1192817730124787,clustered
168,20,30,0.166,15.0,0,4,0.1242392842935415,clustered
169,20,30,0.166,15.0,0,5,0.1312218021086253,clustered
170,20,30,0.166,15.0,0,6,0.1433878382020057,clustered
171,20,30,0.166,15.0,0,7,0.1390166387706903,clustered
172,20,30,0.166,15.0,0,8,0.1330772538364214,clustered
173,20,30,0.166,15.0,0,9,0.1209982374899251,clustered
174,20,30,0.166,15.0,0,10,0.1362395365542625,clustered
175,20,30,0.166,15.0,1,2,0.1549775549591647,clustered
176,20,30,0.166,15.0,1,3,0.1324448463581592,clustered
177,20,30,0.166,15.0,1,4,0.1362452570336168,clustered
178,20,30,0.166,15.0,1,5,0.1290712745193016,clustered
179,20,30,0.166,15.0,1,6,0.1554868729757628,clustered
180,20,30,0.166,15.0,1,7,0.1416587188534777,clustered
181,20,30,0.166,15.0,1,8,0.1753959270972786,clustered
182,20,30,0.166,15.0,1,9,0.1499628632943404,clustered
183,20,30,0.166,15.0,1,10,0.1600023087949796,clustered
184,20,30,0.166,15.0,2,3,0.1275859024115701,clustered
185,20,30,0.166,15.0,2,4,0.1363567875118527,clustered
186,20,30,0.166,15.0,2,5,0.1436783296124255,clustered
187,20,30,0.166,15.0,2,6,0.1803695695754456,clustered
188,20,30,0.166,15.0,2,7,0.1597519977397656,clustered
189,20,30,0.166,15.0,2,8,0.1188169092016717,clustered
190,20,30,0.166,15.0,2,9,0.1081364930588359,clustered
191,20,30,0.166,15.0,2,10,0.1579235804157309,clustered
192,20,30,0.166,15.0,3,4,0.1604824277043512,clustered
193,20,30,0.166,15.0,3,5,0.1286403960149556,clustered
194,20,30,0.166,15.0,3,6,0.1527506160370849,clustered
195,20,30,0.166,15.0,3,7,0.1076409248091225,clustered
196,20,30,0.166,15.0,3,8,0.1238006017699157,clustered
197,20,30,0.166,15.0,3,9,0.1472347067542129,clustered
198,20,30,0.166,15.0,3,10,0.1542108007125668,clustered
199,20,30,0.166,15.0,4,5,0.1185549198721796,clustered
200,20,30,0.166,15.0,4,6,0.1365702227693405,clustered
201,20,30,0.166,15.0,4,7,0.1171035761714967,clustered
202,20,30,0.166,15.0,4,8,0.143600227233195,clustered
203,20,30,0.166,15.0,4,9,0.1314090167516616,clustered
204,20,30,0.166,15.0,4,10,0.1315330626687828,clustered
205,20,30,0.166,15.0,5,6,0.1551794174521771,clustered
206,20,30,0.166,15.0,5,7,0.1221977053627597,clustered
207,20,30,0.166,15.0,5,8,0.1295012095499339,clustered
208,20,30,0.166,15.0,5,9,0.1269308327215279,clustered
209,20,30,0.166,15.0,5,10,0.141266676235643,clustered
210,20,30,0.166,15.0,6,7,0.116805814250448,clustered
211,20,30,0.166,15.0,6,8,0.1513041191749791,clustered
212,20,30,0.166,15.0,6,9,0.1577467241364571,clustered
213,20,30,0.166,15.0,6,10,0.1680357393613352,clustered
214,20,30,0.166,15.0,7,8,0.1490211050904771,clustered
215,20,30,0.166,15.0,7,9,0.1013845121096879,clustered
216,20,30,0.166,15.0,7,10,0.1648371100258732,clustered
217,20,30,0.166,15.0,8,9,0.1120859644239149,clustered
218,20,30,0.166,15.0,8,10,0.1318475552634228,clustered
219,20,30,0.166,15.0,9,10,0.1350192527587956,clustered
220,40,60,0.166,0.0,0,1,0.0791574618703733,clustered
221,40,60,0.166,0.0,0,2,0.0907686604086101,clustered
222,40,60,0.166,0.0,0,3,0.0872622589808213,clustered
223,40,60,0.166,0.0,0,4,0.0848506679086881,clustered
224,40,60,0.166,0.0,0,5,0.0920305920032131,clustered
